"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.072350002e-2	2.826931424e-2	-7.950778892e-3	-1.221424878e-2	3.180498209e-2
2.065650001e-2	4.000216815e-2	-1.074280609e-2	-2.134584546e-2	4.659642109e-2
3.058950001e-2	2.169509554e-2	-1.001181734e-2	-1.071853101e-2	2.618779418e-2
4.052250000e-2	3.622325657e-2	-1.365132993e-2	-3.167612135e-2	5.001859444e-2
5.045550002e-2	3.907959173e-2	-2.386344182e-2	-2.718545973e-2	5.325154989e-2
6.038850002e-2	3.541255611e-2	7.340567121e-3	-3.182581007e-2	4.817484035e-2
7.032050000e-2	2.285637084e-2	1.521003774e-2	-2.314444900e-2	3.590855685e-2
8.025350003e-2	2.472335254e-2	2.874363307e-4	-3.377293289e-2	4.185615577e-2
9.018650002e-2	1.898897901e-2	-1.170953813e-2	-3.661818802e-2	4.287873950e-2
1.001195000e-1	2.560794947e-2	-9.284519646e-3	-2.509157181e-2	3.703452925e-2
1.100525000e-1	2.907746112e-2	1.933464082e-3	-2.943254471e-2	4.141873630e-2
1.199855000e-1	3.850919584e-2	1.633977005e-3	-1.311647415e-2	4.071449299e-2
1.299185000e-1	3.141089531e-2	-1.313280524e-2	-2.164990067e-2	4.034641393e-2
1.398515000e-1	4.196169346e-2	-1.361139984e-2	-1.027472734e-2	4.529485562e-2
1.497845000e-1	3.134841004e-2	-6.809676485e-4	-1.581321001e-2	3.511757594e-2
1.597165000e-1	2.193571303e-2	-2.631338406e-3	-1.147223711e-2	2.489400876e-2
1.696495000e-1	2.591334772e-2	-4.161970443e-3	8.136985302e-3	2.747788416e-2
1.795825000e-1	1.963632060e-2	4.393552160e-3	1.401577592e-3	2.017059263e-2
1.895155000e-1	2.835899591e-5	1.094295903e-2	-1.820764482e-2	2.124305737e-2
1.994485000e-1	2.667885788e-2	9.409586107e-4	-1.132430255e-2	2.899804630e-2
2.093815000e-1	3.389699893e-2	-5.107606826e-3	-9.678311348e-3	3.561971216e-2
2.193145000e-1	3.378605258e-2	6.566902832e-3	-1.595120430e-3	3.445527493e-2
2.292475000e-1	2.631125303e-2	-8.011178803e-3	-1.237329304e-2	3.015890254e-2
2.391795000e-1	3.367984110e-2	-1.777823535e-2	-2.060617268e-2	4.330140531e-2
2.491125000e-1	2.025463396e-2	-5.721212723e-3	-1.327142537e-2	2.488198552e-2
2.590455000e-1	2.311335597e-2	-4.909441033e-3	-2.240243733e-2	3.256069768e-2
2.689785000e-1	2.292688232e-2	9.053796739e-3	-2.045589924e-2	3.203212422e-2
2.789115000e-1	1.865424419e-2	4.100154410e-3	-1.012737751e-2	2.161841501e-2
2.888445000e-1	4.539547085e-2	2.356368522e-3	-1.057702839e-2	4.667092002e-2
2.987775000e-1	2.183276778e-2	5.165891689e-3	-2.524652302e-2	3.377488876e-2
3.087105000e-1	1.912610764e-2	4.517088295e-3	-1.671426594e-2	2.579881327e-2
3.186425000e-1	2.900951464e-2	1.098843940e-2	-2.210364461e-2	3.809027232e-2
3.285755833e-1	3.808281505e-2	1.219130759e-3	-3.243216634e-2	5.003631176e-2
3.385085833e-1	6.317007453e-3	-1.291654506e-3	-2.345084310e-2	2.432108132e-2
3.484415833e-1	8.588424611e-3	-1.270866284e-2	-1.357197225e-2	2.048095650e-2
3.583745833e-1	1.795617343e-2	-6.710182456e-3	-1.387193441e-2	2.366181053e-2
3.683075834e-1	3.371355167e-2	-4.731484680e-3	-1.372283041e-2	3.670567515e-2
3.782405833e-1	1.107002176e-2	-1.348257837e-2	-2.015886068e-2	2.665905035e-2
3.881735833e-1	2.548921902e-2	-2.169321575e-3	-1.746563315e-2	3.097506390e-2
