Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
2.459719583e-1,1.702846014e-2,-3.509581975e-2,-2.047051728e-2,4.405368425e-2
2.559039583e-1,1.709712267e-2,-3.820772619e-2,-2.735619843e-2,5.000503511e-2
2.658359583e-1,1.443690564e-2,-1.866379160e-2,-3.753620088e-2,4.433652825e-2
2.757689583e-1,2.445978244e-2,-2.485147965e-2,-2.675802827e-2,4.395303260e-2
2.857009583e-1,3.709509013e-3,-4.162769867e-2,-3.139779389e-2,5.227281526e-2
2.956329583e-1,2.277760930e-2,-3.002562596e-2,-2.690654755e-2,4.630680297e-2
3.055649583e-1,7.995183470e-3,-3.150269659e-2,-2.960094452e-2,4.396087770e-2
3.154969583e-1,2.301730632e-2,-3.636772620e-2,-2.765616059e-2,5.115927206e-2
3.254289583e-1,3.291801514e-2,-3.807241797e-2,-2.032024384e-2,5.427722395e-2
3.353609583e-1,2.515780980e-2,-3.243328096e-2,-1.523024261e-2,4.378119914e-2
3.452929583e-1,2.382650386e-2,-3.712706024e-2,-1.253467619e-2,4.586108367e-2
3.552259583e-1,3.478280185e-2,-2.909072014e-2,-2.136748016e-2,5.012666467e-2
3.651579583e-1,2.408376765e-2,-3.036227027e-2,-5.501645207e-3,3.914285912e-2
3.750899583e-1,2.021318954e-2,-2.347221284e-2,-2.391160369e-2,3.913160613e-2
3.850219583e-1,1.433676522e-2,-2.475160190e-2,-2.451094329e-2,3.766923114e-2
3.949539583e-1,2.149450178e-2,-3.847290656e-2,-2.990032196e-2,5.325605505e-2
4.048859583e-1,3.234370664e-2,-1.343424291e-2,-1.702767670e-2,3.894272738e-2
4.148179583e-1,1.573923245e-2,-2.109373910e-2,-2.032199800e-2,3.325135892e-2
4.247499583e-1,2.116220178e-2,-3.203824673e-2,-1.134009004e-2,4.003605474e-2
4.346829583e-1,3.243798158e-2,-4.733524810e-2,-2.526289523e-2,6.269818368e-2
4.446149583e-1,1.900621345e-2,-3.269633258e-2,-2.077340305e-2,4.314881908e-2
4.545469583e-1,1.733864008e-2,-2.664244526e-2,-1.718204319e-2,3.613406893e-2
4.644789583e-1,1.694028138e-2,-3.062265409e-2,-2.526581883e-2,4.316342987e-2
4.744109583e-1,2.751135750e-2,-3.473611549e-2,-1.808192968e-2,4.785842341e-2
4.843429583e-1,1.277425101e-2,-3.345489917e-2,-1.823220313e-2,4.018488520e-2
4.942749583e-1,3.229995074e-2,-3.592391339e-2,-2.676562965e-2,5.522873620e-2
5.042069583e-1,2.828627574e-2,-3.212875066e-2,-1.074952126e-2,4.413527185e-2
5.141389583e-1,2.733955442e-2,-3.853838624e-2,-2.032959938e-2,5.143880890e-2
5.240719583e-1,3.171921944e-2,-1.631491939e-2,-1.957998633e-2,4.068981865e-2
5.340039583e-1,2.492032376e-2,-2.619814823e-2,-2.826368630e-2,4.589337066e-2
5.439359583e-1,8.374864196e-3,-3.613396548e-2,-2.901329935e-2,4.709111753e-2
5.538679583e-1,4.154329320e-2,-3.255932501e-2,-2.033310771e-2,5.656315164e-2
5.637999583e-1,3.056640890e-2,-2.338810430e-2,-2.677206159e-2,4.688338786e-2
5.737319583e-1,1.575278269e-2,-2.653406164e-2,-3.725378036e-2,4.837407096e-2
5.836639583e-1,2.928974931e-2,-2.421611572e-2,-3.261401474e-2,5.007977269e-2
5.935961250e-1,1.083918237e-2,-2.663973179e-2,-3.635974109e-2,4.635939987e-2
6.035291250e-1,2.422420589e-2,-2.616864720e-2,-3.606270254e-2,5.071615878e-2
6.134611250e-1,2.736633969e-2,-9.752744576e-3,-9.566629529e-3,3.058681048e-2
6.233931250e-1,3.064028710e-2,-2.454914206e-2,-2.603297353e-2,4.710842048e-2
6.333251250e-1,2.649410414e-2,-3.196299124e-2,-1.271301627e-2,4.341878793e-2
6.432571250e-1,2.201482860e-2,-1.827093179e-2,-2.034831047e-2,3.510745456e-2
6.531891250e-1,2.298405941e-2,-3.401423103e-2,-1.780477166e-2,4.474645007e-2
6.631211250e-1,3.447866441e-2,-2.740535159e-2,-5.083569288e-3,4.433592529e-2
6.730531250e-1,2.768898951e-2,-3.668623500e-2,-2.154874384e-2,5.076325777e-2
6.829861250e-1,2.500261419e-2,-3.366586489e-2,-1.526415646e-2,4.462640079e-2
6.929181250e-1,1.278903122e-2,-3.114534035e-2,-8.680776358e-3,3.476992124e-2
7.028501250e-1,2.168855854e-2,-1.786686178e-2,-2.754272461e-2,3.934742686e-2
7.127821250e-1,1.104766873e-2,-1.677855791e-2,-2.829350710e-2,3.470005092e-2
7.227141250e-1,1.674630686e-2,-2.559127120e-2,-2.170778811e-2,3.750440001e-2
7.326461250e-1,2.082459359e-2,-2.718355939e-2,-2.814498782e-2,4.432549987e-2
7.425781250e-1,1.509856948e-2,-2.527405975e-2,-3.338526249e-2,4.451202813e-2
7.525101250e-1,1.409855628e-2,-2.569107587e-2,-4.117083013e-2,5.053551149e-2
7.624421250e-1,2.751756331e-2,-2.031358349e-2,-3.578379035e-2,4.950088501e-2
