Time_s,Bx_nT,By_nT,Bz_nT,zAut_m,zTrue_m
0.2,14.0943756,-242.614784,56.8258922,15.2,15.2
0.3,10.3979713,-227.242706,60.7525227,15.2,15.2
0.4,5.16935723,-238.17018,66.2014322,15.2,15.2
0.5,1.84153721,-250.149975,69.4951538,15.2,15.2
0.6,6.25445135,-235.286173,63.0116256,15.2,15.2
0.7,4.26107904,-215.103169,60.5741169,15.2,15.2
0.8,-2.54575175,-195.237298,50.082624,15.2,15.2
0.9,-8.04755503,-192.552191,53.3056005,15.2,15.2
1.0,-5.5574822,-215.385497,65.4404697,15.2,15.2
1.1,-10.0970426,-230.772199,62.0424899,15.2,15.2
1.2,-5.49308382,-255.915934,81.0992893,15.2,15.2
1.3,0.840959985,-257.850257,81.3979167,15.2,15.2
1.4,-0.782900654,-249.755029,76.446778,15.2,15.2
1.5,-0.263587751,-253.162923,82.1637719,15.2,15.2
1.6,-3.34051282,-267.932119,85.1376141,15.2,15.2
1.7,-6.22204049,-253.739693,79.087926,15.2,15.2
1.8,-0.92427332,-245.053573,74.0843898,15.2,15.2
1.9,-3.70665063,-242.691816,75.0655046,15.2,15.2
2.0,-7.99980707,-238.536923,64.0799192,15.2,15.2
2.1,-6.22603111,-239.646703,78.7544399,15.2,15.2
2.2,-14.3045588,-230.309007,72.5839804,15.2,15.2
2.3,-16.6164302,-219.458015,70.1440454,15.2,15.2
2.4,-13.8889853,-218.881368,67.5306594,15.2,15.2
2.5,-8.17902905,-246.771329,74.2644229,15.2,15.2
2.6,-1.34332884,-254.926327,70.7339432,15.2,15.2
2.7,-0.753025074,-242.557319,59.7582348,15.2,15.2
2.8,-2.05200862,-229.395463,64.552207,15.2,15.2
2.9,16.4448124,-271.443502,77.2030533,15.2,15.2
3.0,7.33103465,-284.990317,90.2433072,15.2,15.2
3.1,-1.7967849,-304.763598,99.2878333,15.2,15.2
3.2,-8.63463374,-315.040882,96.7981913,15.2,15.2
3.3,-10.7822499,-301.777068,84.2040696,15.2,15.2
3.4,-6.08739949,-294.729949,83.9922368,15.2,15.2
3.5,-6.06566969,-279.26202,80.1769869,15.2,15.2
3.6,-7.29696864,-286.605537,83.9406722,15.2,15.2
3.7,-15.0693353,-281.4787,92.3921935,15.2,15.2
3.8,-20.8142287,-281.351201,81.3461996,15.2,15.2
3.9,-27.9834883,-296.83645,90.55024,15.2,15.2
