Time_s,Bx_nT,By_nT,Bz_nT,zAut_m
36007.8,509.212331,-153.298764,156.604113,26.3
36007.9,512.594154,-165.120896,159.01651,26.3
36008.0,503.875953,-175.58832,170.653675,26.3
36008.1,498.114297,-178.533076,170.62789,26.3
36008.2,494.228413,-180.633497,173.038206,26.3
36008.3,503.551371,-174.170064,172.399114,26.3
36008.4,509.96886,-133.589808,145.400069,26.3
36008.5,522.456114,-97.4545141,127.372102,26.3
36008.6,529.793586,-113.11,135.082964,26.3
36008.7,522.34336,-111.469742,131.898941,26.3
36008.8,514.552549,-112.923153,136.626916,26.3
36008.9,518.741536,-116.629045,140.33571,26.3
36009.0,515.227354,-113.305821,144.761917,26.3
36009.1,508.747602,-111.248401,144.114963,26.3
36009.2,507.831064,-120.637231,157.284571,26.3
36009.3,513.023299,-115.344648,151.123569,26.3
36009.4,517.174406,-100.901246,151.962352,26.3
36009.5,519.355361,-92.6019485,143.67168,26.3
36009.6,519.22424,-80.0126177,137.81248,26.3
36009.7,528.30107,-97.6373958,140.431419,26.3
36009.8,524.240369,-105.592457,157.020712,26.3
36009.9,525.380754,-94.3617992,137.608006,26.3
36010.0,526.946392,-95.5267237,142.458521,26.3
36010.1,516.369583,-73.1868436,140.328882,26.3
36010.2,500.503086,-73.6374631,153.925269,26.3
36010.3,509.2508,-63.4340087,144.015129,26.3
36010.4,501.120577,-61.3127385,149.010506,26.3
36010.5,499.489022,-51.7917071,133.046841,26.3
36010.6,506.647551,-44.389616,137.602032,26.3
36010.7,512.536171,-49.7114035,144.921753,26.3
36010.8,518.37572,-34.3042198,127.512794,26.3
36010.9,533.385488,-1.25443626,104.37846,26.3
36011.0,519.612903,-2.70116908,117.703405,26.3
36011.1,521.093323,-15.3969955,123.011537,26.3
36011.2,515.584169,-16.5701799,121.888191,26.3
36011.3,515.632849,5.97762048,112.341799,26.3
36011.4,516.151342,17.7363746,102.330381,26.3
36011.5,519.311694,5.26103799,109.937388,26.3
36011.6,529.033282,-6.91580257,123.787802,26.3
36011.7,528.613606,-10.5134722,135.71199,26.3
36011.8,530.316027,-3.65328525,129.371827,26.3
36011.9,529.097803,-11.9528255,128.55258,26.3
36012.0,522.091112,-10.4508528,119.76196,26.3
36012.1,526.236213,8.79605683,103.847745,26.3
36012.2,521.990168,34.9576818,95.4311137,26.3
